589.6,204.6,362062976,W
589.8,204.0,362063019,W
428.4,148.2,362063064,W
349.4,122.9,362063092,W
327.5,116.5,362063110,W
320.4,121.1,362063155,W
323.7,127.0,362063199,W
325.8,128.8,362063228,W
308.4,363.7,362063243,W
520.3,194.9,362063274,W
508.3,209.4,362063289,W
575.5,183.8,362063319,W
555.1,209.0,362063363,W
331.9,444.6,362063380,W
458.5,398.6,362063409,W
586.5,420.7,362063424,W
580.0,435.1,362063454,W
596.0,426.7,362063469,W
606.3,383.1,362063501,W
609.2,356.8,362063513,W
533.5,593.2,362063559,W
484.6,604.8,362063604,W
411.2,516.3,362063651,W
409.2,509.0,362063678,W
441.0,260.3,362063696,W
445.6,230.7,362063741,W
943.8,433.1,362064130,W
824.2,603.7,362064145,W
636.9,653.2,362064173,W
555.3,668.4,362064188,W
672.5,580.1,362064217,W
913.1,448.2,362064264,W
813.7,492.1,362064278,W
604.2,512.9,362064307,W
605.1,652.1,362064326,W
543.3,633.7,362064352,W
519.2,612.6,362064370,W
524.0,615.4,362064401,W
436.7,599.8,362064420,W
492.7,417.5,362064446,W
517.2,244.9,362064461,W
541.7,346.5,362064488,W
474.9,495.0,362064506,W
534.8,262.7,362064552,W
533.1,406.0,362064579,W
512.6,451.6,362064596,W
480.7,591.3,362064624,W
527.8,581.0,362064639,W
515.0,501.8,362064668,W
623.6,222.3,362064711,W
624.0,222.3,362064728,W
661.0,571.0,362064757,W
668.8,649.9,362064775,W
727.0,605.1,362064807,W
715.7,592.4,362064820,W
742.1,459.0,362064850,W
751.4,498.3,362064864,W
741.9,384.9,362064893,W
726.4,289.7,362064925,W
720.6,256.7,362064938,W
702.3,219.5,362064970,W
695.7,188.5,362064999,W
683.3,173.0,362065016,W
674.0,163.5,362065031,W
663.0,143.0,362065043,W
644.7,126.7,362065059,W
631.9, 95.7,362065074,W
633.9,104.8,362065089,W
635.1,107.3,362065104,W
612.0, 79.3,362065120,W
592.2, 55.3,362065150,W
593.2, 43.3,362065163,W
596.9, 40.4,362065209,W
653.8, 15.6,362065240,W
666.5, 12.3,362065254,W
658.7, 85.6,362065268,W
641.8, 61.9,362065300,W
639.9, 82.4,362065314,W
658.0,116.9,362065329,W
672.3,121.9,362065344,W
688.2,128.2,362065359,W
736.9,211.8,362065389,W
737.5,201.5,362065404,W
885.4,230.5,362065451,W
929.1,283.2,362065493,W
991.9,390.1,362065510,W
1000.0,453.2,362065523,W
970.2,442.2,362065538,W
965.8,452.4,362065555,W
927.6,493.4,362065602,W
859.1,542.1,362065612,W
848.8,581.0,362065629,W
905.8,712.4,362065646,W
884.8,755.4,362065673,W
882.3,771.2,362065689,W
859.6,739.3,362065705,W
886.5,773.6,362065721,W
904.3,803.3,362065763,W
886.3,755.4,362065778,W
1030.6,521.9,362065808,W
902.1,629.3,362065825,W
857.5,472.8,362065853,W
853.2,525.2,362065869,W
820.6,456.5,362065913,W
793.2,471.2,362065926,W
747.8,648.0,362065945,W
731.0,668.5,362065959,W
724.4,675.4,362065988,W
720.5,688.5,362066004,W
758.6,741.5,362066016,W
728.5,774.7,362066050,W
728.7,770.7,362066062,W
750.3,750.9,362066079,W
776.4,761.7,362066095,W
838.2,792.5,362066106,W
914.8,657.9,362066124,W
925.3,647.2,362066138,W
913.1,677.4,362066154,W
921.0,614.0,362066169,W
943.1,603.3,362066196,W
962.5,697.0,362066214,W
976.4,702.2,362066231,W
1022.6,724.8,362066259,W
1024.6,845.9,362066273,W
1018.5,881.0,362066304,W
997.9,889.0,362066319,W
878.9,857.4,362066350,W
894.5,862.4,362066364,W
914.8,872.9,362066378,W
912.5,865.9,362066394,W
904.0,857.1,362066408,W
892.5,843.8,362066420,W
893.1,844.1,362066439,W
923.1,859.9,362066456,W
939.1,870.8,362066465,W
1089.6,762.9,362066500,W
1085.7,743.1,362066529,W
1056.8,802.5,362066545,W
1018.6,827.3,362066558,W
999.8,887.3,362066573,W
998.9,876.9,362066589,W
989.1,916.6,362066619,W
913.7,846.9,362066647,W
907.6,840.2,362066663,W
939.6,868.9,362066680,W
973.5,829.8,362066710,W
1027.3,772.5,362066725,W
1003.9,793.8,362066736,W
1011.0,772.3,362066754,W
1007.3,779.9,362066770,W
1038.0,767.4,362066800,W
1043.9,764.9,362066815,W
1015.1,808.6,362066825,W
1039.7,839.7,362066844,W
1047.5,839.3,362066859,W
1017.1,841.9,362066870,W
1038.2,843.8,362066890,W
1080.0,811.7,362066906,W
1087.4,795.9,362066915,W
1094.9,766.7,362066950,W
1119.0,747.4,362066960,W
1139.7,736.4,362066978,W
1144.4,725.2,362066994,W
1158.1,679.2,362067007,W
1163.8,663.9,362067022,W
1171.3,715.7,362067039,W
1175.4,666.5,362067052,W
1179.4,734.1,362067099,W
1251.1,703.7,362067130,W
1261.0,620.9,362067141,W
1375.1,622.9,362067175,W
1358.4,475.1,362067203,W
1374.3,503.7,362067219,W
1443.5,426.5,362067249,W
1416.8,427.3,362067263,W
1378.4,421.6,362067276,W
1378.7,434.4,362067294,W
1384.0,438.7,362067309,W
1383.7,469.6,362067321,W
1367.6,492.4,362067339,W
1368.3,492.7,362067355,W
1367.9,484.2,362067366,W
1441.0,529.9,362067400,W
1444.7,523.1,362067414,W
1453.6,474.3,362067428,W
1447.7,457.8,362067444,W
1439.6,423.7,362067457,W
1518.0,491.6,362067475,W
1505.2,484.5,362067488,W
1497.7,516.7,362067504,W
1503.7,529.7,362067519,W
1536.0,549.4,362067550,W
1528.8,553.0,362067564,W
1564.0,545.0,362067578,W
1550.7,544.4,362067592,W
1482.3,528.1,362067610,W
1463.1,544.8,362067624,W
1450.6,505.8,362067637,W
1486.2,474.6,362067653,W
1494.5,473.6,362067669,W
1521.2,467.7,362067701,W
1527.0,471.1,362067715,W
1574.2,448.7,362067727,W
1679.4,453.0,362067744,W
1749.3,461.5,362067759,W
1769.1,518.4,362067771,W
1740.8,523.5,362067789,W
